Official_name,Old_name,SKY,NGVS_ra,NGVS_dec,x_g_gal,y_g_gal,Nuc_Flag,Index,Size,AxisRatio,PA,principleg_mag_cg
NGVSJ12:22:03.61+12:44:27.3,NGVS185.51505+12.74092_VCC522,0.255,185.5150291,12.740928,-100.0,-100.0,1,37,120.17646830349682,0.6953,30.53,12.919
NGVSJ12:22:04.12+12:47:15.0,NGVS185.51718+12.787467_VCC523,0.184,185.51718280000003,12.7874979,-100.0,-100.0,1,38,137.7754007431275,0.74829996,-21.35,13.107000000000001
NGVSJ12:22:05.66+09:02:37.3,NGVS185.52357+9.0436564_VCC524,0.611,185.52360380000002,9.043698800000001,-100.0,-100.0,1,39,114.99465085605888,0.3169,21.42,12.439
NGVSJ12:22:12.38+07:08:39.5,NGVS185.55159+7.14427_VCC534,0.235,185.5515782,7.144312599999999,-100.0,-100.0,1,40,113.08555807021853,0.61759996,65.21,13.198
NGVSJ12:22:14.74+07:10:01.7,NGVS185.5614+7.1671293_VCC538,0.177,185.5614014,7.167149900000001,-100.0,-100.0,1,41,27.60962623963381,0.94449997,57.77,15.769
NGVSJ12:22:19.53+14:45:38.8,NGVS185.58139+14.760732_VCC543,0.239,185.5813776,14.7607696,-100.0,-100.0,1,42,97.18716463303184,0.5611,-55.49,13.989
NGVSJ12:22:31.34+15:32:16.5,NGVS185.63073+15.537626_VCC559,0.4,185.6305649,15.537915,-100.0,-100.0,1,43,149.22460260238242,0.30470002,-8.56,12.088
NGVSJ12:22:38.59+11:48:04.0,NGVS185.6606+11.8009_VCC570,0.9,185.660798,11.8011102,-100.0,-100.0,1,44,136.34759219572507,0.4256,-36.65,12.113
NGVSJ12:22:39.00+06:40:38.0,NGVS185.66251+6.6771353_VCC567,0.16399999999999998,185.66250119999998,6.6772184999999995,-100.0,-100.0,1,45,91.09625586851395,0.47829998,26.78,14.030999999999999
NGVSJ12:22:41.10+07:57:01.4,NGVS185.67149+7.9503594_VCC571,0.205,185.6712666,7.9503803,-100.0,-100.0,1,46,56.59358386687416,0.6085,-77.62,14.864
NGVSJ12:22:42.25+09:19:56.7,NGVS185.67601+9.3325261_VCC576,0.295,185.6760592,9.332415899999999,-100.0,-100.0,1,47,86.18181402033025,0.27060002,-67.92,13.112
NGVSJ12:22:43.29+08:11:53.8,NGVS185.6804+8.1982531_VCC575,0.446,185.68035780000002,8.1982639,-100.0,-100.0,1,48,31.064171204592448,0.7363,62.42,13.659
NGVSJ12:22:54.91+15:49:20.2,NGVS185.7288+15.822211_VCC596,0.23399999999999999,185.7287922,15.822281699999998,-100.0,-100.0,1,49,541.2406309403201,0.76629996,-11.47,9.627
NGVSJ12:23:06.19+05:15:01.1,NGVS185.77572+5.2503456_VCC613,1.767,185.77579369999998,5.2503057,-100.0,-100.0,1,50,77.12299428521631,0.67550004,54.43,11.988
NGVSJ12:23:17.10+11:22:05.7,NGVS185.8204+11.367279_VCC630,0.3,185.82123169999997,11.3682547,-100.0,-100.0,1,51,150.60427864605091,0.2878,57.18,12.925999999999998
NGVSJ12:23:20.02+15:49:13.3,NGVS185.83339+15.820324_VCC634,0.099,185.83343290000002,15.820349199999999,-100.0,-100.0,1,52,154.24598857043262,0.82739997,-88.61,13.472999999999999
NGVSJ12:23:34.94+06:04:54.4,NGVS185.89561+6.0817747_VCC648,0.53,185.89558780000002,6.081779900000001,-100.0,-100.0,1,53,132.56149495986693,0.9519,17.59,11.838
NGVSJ12:23:35.28+16:43:20.4,NGVS185.89704+16.722374_VCC654,0.41600000000000004,185.8970174,16.7223449,-100.0,-100.0,1,54,155.15507988751253,0.8383,85.07,11.620999999999999
NGVSJ12:23:38.72+06:57:15.0,NGVS185.91115+6.9540755_VCC656,0.401,185.91135409999998,6.954154400000001,-100.0,-100.0,1,55,87.07487136922418,0.41320002,-47.82,12.651
NGVSJ12:23:39.00+07:03:14.4,NGVS185.91253+7.0539655_VCC657,0.4,185.9125041,7.0539981,-100.0,-100.0,1,56,24.219250296526408,0.6003,-12.73,12.568
NGVSJ12:23:44.42+12:28:41.2,NGVS185.93529+12.478339_VCC664,0.23,185.93508559999998,12.4781194,-100.0,-100.0,1,57,130.62566869399126,0.5848,48.36,13.53
NGVSJ12:23:48.52+07:11:12.5,NGVS185.95223+7.1868303_VCC667,0.56,185.95216330000002,7.1868057,-100.0,-100.0,1,58,112.50267436797606,0.6447,26.87,13.742
NGVSJ12:23:53.46+07:06:25.7,NGVS185.97278+7.1071392_VCC672,0.502,185.9727565,7.1071284,-100.0,-100.0,0,59,55.021388007995284,0.3013,-84.73,13.652999999999999
